,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,Linear,RandomForest,GBR,DecisionTree,XGB
8573,-118.41,33.9,39,2040,336.0,926,351,7.5552,500001,<1H OCEAN,385850.93,453040.49,460465.43,427775.38,447473.94
18210,-122.06,37.39,26,18,4.0,8,4,3.75,375000,NEAR BAY,221772.28,224369.04,234563.39,208552.89,252093.44
1702,-122.3,37.97,34,2854,528.0,1211,452,3.5353,164700,NEAR BAY,223986.85,149676.0,192384.52,146496.77,163800.67
1091,-121.81,39.71,18,1222,250.0,708,281,2.0288,116700,INLAND,49572.86,82545.0,61908.87,91784.85,80495.83
8821,-118.35,34.09,35,2705,785.0,1526,793,3.0349,266700,<1H OCEAN,233991.78,371426.15,312268.5,377310.82,331042.47
12255,-117.02,33.76,20,1317,203.0,453,158,2.8393,120700,INLAND,105033.55,123708.0,108798.25,139500.0,143026.39
9714,-121.68,36.67,26,5745,1017.0,2780,996,5.0,202300,<1H OCEAN,294754.77,267565.01,269655.91,255593.96,271709.03
3653,-118.43,34.22,34,2300,429.0,1447,455,4.2656,233700,<1H OCEAN,237088.38,202565.0,227688.42,226591.39,182515.36
13988,-117.15,34.83,30,5370,1062.0,2778,944,3.099,66800,INLAND,112575.07,77651.0,100429.61,64187.5,62122.24
17537,-121.89,37.35,47,2879,631.0,2229,606,3.2599,183100,<1H OCEAN,216775.17,213075.0,211111.08,236768.99,181383.09
5089,-118.29,33.98,30,1162,318.0,1207,289,1.223,100000,<1H OCEAN,110263.05,135318.0,160516.24,114761.98,112331.34
512,-122.23,37.82,52,3242,366.0,1001,352,12.2138,500001,NEAR BAY,574263.23,498787.98,449481.07,499760.87,480009.5
9649,-120.83,37.07,16,3736,761.0,1942,730,2.5598,120200,INLAND,119119.86,107948.0,115193.57,104445.9,119209.61
6478,-118.04,34.09,34,2001,388.0,1461,397,3.8304,183000,INLAND,167116.08,296318.0,169381.86,307242.86,237081.11
4443,-118.21,34.09,37,1822,498.0,1961,506,1.9881,159200,<1H OCEAN,139874.99,184666.0,152530.3,187412.12,151656.19
11065,-117.88,33.79,32,1484,295.0,928,295,5.1418,190300,<1H OCEAN,267932.97,214596.0,247235.37,237522.89,222994.03
11838,-120.98,39.93,25,2220,511.0,912,449,1.8914,87800,INLAND,41723.66,71947.0,99197.61,59333.33,76118.66
2745,-115.57,32.79,34,1152,208.0,621,208,3.6042,73600,INLAND,134976.11,91079.01,112980.8,81606.67,88916.37
12614,-121.51,38.49,21,4426,790.0,1856,761,4.1,158300,INLAND,171242.32,172132.0,162809.05,163773.72,182158.45
11724,-120.04,39.24,30,2369,469.0,510,213,2.65,123800,INLAND,64148.76,132428.0,124097.74,87426.47,115186.24
17005,-122.29,37.54,43,2268,438.0,1151,449,4.9091,293200,NEAR OCEAN,304745.26,323265.04,336041.3,255593.96,334333.72
7506,-118.28,33.92,37,742,151.0,729,144,3.055,105400,<1H OCEAN,188965.82,148039.0,181330.69,137552.94,122436.02
1076,-121.8,39.75,11,7212,1355.0,3264,1264,3.1125,122600,INLAND,106954.04,115752.0,120451.94,130166.67,115388.82
19831,-119.38,36.56,25,1180,222.0,611,212,2.0729,84700,INLAND,71605.3,64922.0,68381.64,59816.16,73767.43
19462,-120.99,37.68,30,1975,375.0,732,326,2.6932,94900,INLAND,125913.93,120426.0,109134.79,104911.48,128901.68
1007,-121.75,37.68,35,1755,299.0,702,263,5.2443,183400,INLAND,244089.55,218137.0,203271.28,210988.89,227803.89
2890,-118.98,35.39,29,607,177.0,476,143,1.1875,50700,INLAND,59851.32,54195.0,65106.05,59816.16,65209.4
14850,-117.07,32.67,28,2758,623.0,2179,631,2.3814,112300,NEAR OCEAN,160290.04,113777.0,113801.34,112625.0,111121.22
4968,-118.28,34.01,50,2601,794.0,3080,770,1.8656,122900,<1H OCEAN,147115.63,172128.0,186657.23,219795.75,120347.25
13690,-117.2,34.14,18,1920,333.0,890,323,5.159,144800,INLAND,190737.39,140496.0,193244.62,126214.29,142454.61
19959,-119.32,36.25,21,1231,,609,206,2.8365,90000,INLAND,117510.35,79835.0,118935.65,82496.55,93141.58
12536,-121.51,38.55,45,3032,631.0,1341,597,2.8417,137900,INLAND,149070.47,121538.0,114838.12,104911.48,103896.88
12450,-114.56,33.69,17,720,174.0,333,117,1.6509,85700,INLAND,-6022.51,62669.0,69460.32,63440.35,71854.34
4728,-118.36,34.05,48,1825,404.0,728,363,3.3824,322600,<1H OCEAN,240279.03,430817.28,324498.14,378980.96,379072.03
18567,-121.75,36.93,24,4026,881.0,2264,863,3.1327,218100,<1H OCEAN,222350.46,195105.0,232038.82,236768.99,204466.52
8067,-118.18,33.83,44,1497,277.0,542,274,5.0052,321800,NEAR OCEAN,297617.66,268186.04,318657.81,313060.0,305873.81
7152,-118.16,34.03,41,1377,293.0,1142,272,3.1724,141600,<1H OCEAN,192604.99,154528.0,188498.62,154055.96,146830.81
20493,-118.65,34.27,23,1724,265.0,934,306,6.0783,229200,<1H OCEAN,300625.05,250498.0,279590.21,285827.16,241084.11
4229,-118.29,34.11,49,2850,379.0,1113,380,12.9591,500001,<1H OCEAN,594865.31,500001.0,481233.79,499760.87,481588.28
13657,-117.3,34.05,7,4672,1121.0,2534,1046,3.4228,115700,INLAND,147109.74,112857.0,141869.82,114912.5,120388.72
13026,-121.21,38.67,11,5500,956.0,2827,946,4.1071,145800,INLAND,132132.12,168104.0,160862.4,163773.72,161868.7
5585,-118.3,33.81,17,5544,1068.0,3008,1038,5.322,282700,<1H OCEAN,279705.43,316337.01,270075.5,294855.1,308441.94
5059,-118.35,34.01,35,3776,,1583,749,3.5486,332100,<1H OCEAN,223676.44,349798.16,292966.64,378980.96,336467.22
14281,-117.13,32.71,44,1697,413.0,1396,363,1.5474,83300,NEAR OCEAN,145803.73,141328.0,145688.05,125689.25,127137.77
4773,-118.34,34.03,48,1426,331.0,784,356,1.6581,118800,<1H OCEAN,166917.73,253945.04,227551.62,187412.12,258652.23
17658,-121.9,37.28,34,4613,749.0,2050,725,5.3922,302900,<1H OCEAN,303759.86,292577.01,289960.09,294855.1,283480.22
3877,-118.5,34.21,36,1254,229.0,629,245,4.9643,236100,<1H OCEAN,275057.6,252487.01,259940.13,226591.39,241582.73
4803,-118.36,34.03,38,2365,638.0,2259,607,2.0879,120700,<1H OCEAN,153575.23,242231.01,228705.06,187412.12,256165.41
5039,-118.34,33.99,34,397,132.0,250,121,1.675,166700,<1H OCEAN,147480.96,197025.02,216546.57,114761.98,198755.33
18938,-122.07,38.26,15,1173,146.0,450,154,6.0487,197700,INLAND,241504.55,215428.0,225626.34,252300.0,220546.09
18994,-121.95,38.43,19,3011,551.0,1665,535,5.1534,232800,INLAND,204745.15,180999.0,180316.04,187458.11,187642.91
9515,-123.2,39.16,14,1908,484.0,1195,467,1.7929,82300,<1H OCEAN,134441.15,108713.0,103748.74,134641.56,79073.09
11121,-117.92,33.85,38,2082,532.0,1592,510,2.3704,166100,<1H OCEAN,169319.61,171767.0,148047.47,168772.6,152865.14
12174,-117.23,33.78,23,3465,703.0,2672,607,1.9767,81500,INLAND,54045.18,98756.0,83369.42,85332.9,95449.93
19052,-121.76,38.25,32,1495,333.0,905,281,2.625,212500,INLAND,121048.03,97413.0,92974.69,104911.48,110292.8
18131,-122.02,37.34,26,1992,328.0,980,342,6.2475,350000,<1H OCEAN,325599.47,336853.05,316374.44,285827.16,332824.34
2249,-119.81,36.81,33,3972,594.0,1324,561,5.4513,143300,INLAND,229254.0,190319.01,206171.17,180266.67,209028.23
16060,-122.49,37.76,49,1724,295.0,795,297,4.3977,353600,NEAR BAY,278115.7,423121.21,356351.25,476439.84,393622.66
8016,-118.11,33.83,36,1726,287.0,820,288,5.5767,218100,<1H OCEAN,296305.53,253921.0,292323.56,237522.89,286108.0
3265,-122.95,39.13,17,380,69.0,225,72,3.25,137500,INLAND,135748.14,127397.0,108960.57,127012.72,113366.23
13111,-121.37,38.39,15,1883,254.0,893,256,6.2575,143500,INLAND,223023.25,229126.0,213519.91,211700.0,214678.31
4472,-118.18,34.08,31,1318,311.0,1164,289,2.9939,135500,<1H OCEAN,175837.18,180871.0,175393.67,179949.3,153516.34
4092,-118.42,34.16,17,277,70.0,119,59,4.0208,341700,<1H OCEAN,215661.86,226596.02,247231.02,208552.89,244009.2
4599,-118.27,34.05,47,661,359.0,1406,307,1.3169,112500,<1H OCEAN,128964.76,206476.0,148368.08,187412.12,209001.36
16171,-122.5,37.79,52,8,1.0,13,1,15.0001,500001,NEAR BAY,692418.36,468202.83,482577.96,488100.86,415433.12
12406,-116.29,33.74,6,12991,2555.0,4571,1926,4.7195,199300,INLAND,225349.77,211298.01,167145.77,174972.86,173973.69
16922,-122.33,37.58,27,5144,1481.0,2518,1447,3.4836,287900,NEAR OCEAN,308988.39,284864.06,279571.3,255983.21,305817.25
4733,-118.36,34.05,50,3518,812.0,1724,758,3.0833,338100,<1H OCEAN,242058.02,414208.35,313156.1,377310.82,358425.03
6348,-117.75,34.06,52,24,6.0,46,7,1.625,67500,INLAND,100513.35,151148.0,130620.44,258633.5,185225.25
17148,-122.2,37.43,38,3626,528.0,1350,532,7.3681,500001,NEAR OCEAN,394977.68,462460.41,448278.58,463624.55,442576.09
13226,-117.68,34.01,20,7326,1555.0,5718,1538,3.2073,123500,INLAND,99591.86,147720.0,142998.36,136219.72,134253.83
5194,-118.26,33.92,40,1076,244.0,705,255,1.7986,98900,<1H OCEAN,155877.2,108638.0,135087.51,114761.98,98157.34
15303,-117.36,33.17,24,2046,442.0,812,367,2.3182,500001,NEAR OCEAN,170809.99,197435.0,197270.0,220371.91,258665.48
15828,-122.43,37.75,52,2700,595.0,1181,575,3.575,396800,NEAR BAY,269044.31,461492.45,376595.07,476439.84,416048.22
1134,-121.63,39.75,37,1296,296.0,569,257,1.8616,70500,INLAND,64001.68,67406.0,82945.66,66766.67,73485.09
14651,-117.15,32.81,34,1629,318.0,900,282,3.1458,178300,NEAR OCEAN,202058.83,204055.02,189465.46,192855.36,163291.83
13223,-117.67,34.03,20,8561,1411.0,4861,1450,4.7056,165500,INLAND,167928.6,185609.0,203103.43,174972.86,178027.81
12107,-117.32,33.99,27,5464,850.0,2400,836,4.711,133500,INLAND,190126.12,152134.0,177431.25,174972.86,152702.17
4310,-118.32,34.09,30,1871,766.0,2595,819,2.0044,212500,<1H OCEAN,152345.4,233643.01,202895.2,219795.75,245863.78
3655,-118.43,34.22,36,1372,295.0,774,306,3.6618,187300,<1H OCEAN,224726.84,199781.0,225019.91,208552.89,195560.73
16820,-122.47,37.65,27,8103,1655.0,5023,1605,4.6452,236200,NEAR OCEAN,274888.73,302957.05,293526.31,255983.21,276409.0
7479,-118.22,33.93,39,1921,483.0,2286,470,3.0167,130000,<1H OCEAN,170872.68,135069.0,157260.44,137552.94,122302.91
3753,-118.39,34.17,40,1696,372.0,835,385,3.6563,222400,<1H OCEAN,236154.37,235621.0,237032.45,208552.89,229969.8
8177,-118.09,33.8,36,1724,322.0,838,328,4.4831,253900,<1H OCEAN,258128.85,224163.0,213137.77,217782.32,233693.69
11640,-118.06,33.83,21,3941,655.0,1897,670,4.88,343900,<1H OCEAN,253918.96,226822.0,228433.97,190356.46,243710.8
731,-122.13,37.68,44,2147,399.0,1175,401,4.1974,179300,NEAR BAY,255879.24,208539.0,231586.8,255593.96,173698.09
1821,-122.29,37.92,35,583,88.0,235,84,5.943,288200,NEAR BAY,310747.88,321668.05,290792.2,388692.38,254459.61
6011,-117.77,34.06,27,2178,629.0,2379,591,1.9766,108000,INLAND,75746.91,112236.0,95453.24,116358.62,111019.05
12090,-117.3,33.85,15,3991,751.0,2317,657,2.9542,127900,INLAND,101254.97,115547.0,119550.91,93384.81,125310.04
3620,-118.45,34.25,21,2143,565.0,1803,497,3.9833,162500,<1H OCEAN,211277.42,192253.02,224789.98,208552.89,176711.25
14704,-117.07,32.81,15,2000,402.0,778,369,4.3594,224200,<1H OCEAN,237837.44,168228.0,199492.29,176381.48,157605.97
11332,-117.96,33.75,25,1323,208.0,852,229,4.6167,237300,<1H OCEAN,235878.69,210356.0,208035.5,190356.46,220289.72
16985,-122.29,37.56,12,6474,1467.0,2516,1390,5.0353,305800,NEAR BAY,334557.95,307857.08,270769.89,255593.96,288405.97
18528,-122.04,36.96,44,1294,269.0,645,259,3.2437,223900,NEAR OCEAN,246611.12,232683.0,248380.8,285062.66,203249.0
10909,-117.86,33.74,32,691,151.0,926,148,4.125,175900,<1H OCEAN,212273.24,177573.0,185644.92,190356.46,181501.33
9000,-118.34,34.0,49,2465,372.0,1018,359,4.0,296800,<1H OCEAN,250588.26,289880.11,290652.65,317937.58,302112.47
14776,-117.08,32.58,22,2128,477.0,1420,450,3.2687,131000,NEAR OCEAN,199106.9,136217.0,138906.98,144195.83,137554.47
11554,-117.99,33.74,26,4065,741.0,1960,739,4.506,240000,<1H OCEAN,252863.72,211243.01,233824.07,190356.46,242610.48
1239,-120.27,38.31,13,3297,662.0,267,97,3.075,108300,INLAND,101536.13,119149.0,143503.22,127012.72,115859.99
20639,-121.24,39.37,16,2785,616.0,1387,530,2.3886,89400,INLAND,65444.38,87795.0,81612.8,91865.08,90706.96
17065,-122.22,37.48,47,2570,783.0,3107,724,2.8058,229500,NEAR OCEAN,195693.54,255178.01,205167.68,315542.93,188962.59
14628,-117.18,32.76,17,711,254.0,327,227,2.6493,67500,NEAR OCEAN,182921.24,171725.02,190138.16,160571.43,164685.25
101,-122.25,37.81,28,5806,1603.0,2563,1497,3.2177,273400,NEAR BAY,290946.2,297560.08,227122.07,236768.99,270343.97
17045,-122.27,37.48,26,3542,507.0,1392,524,8.5184,500001,NEAR OCEAN,424520.39,442266.4,454985.23,439519.95,456509.47
16644,-120.62,35.28,28,3952,592.0,1469,571,6.3144,328800,NEAR OCEAN,356820.1,416179.33,409425.01,469600.62,371310.47
13877,-117.31,34.43,16,5130,1172.0,3126,1046,1.6784,71900,INLAND,58807.84,83813.0,76839.71,85332.9,76202.46
20425,-118.75,34.17,18,6217,858.0,2703,834,6.8075,325900,NEAR OCEAN,325452.4,398489.12,355255.86,349877.8,335984.69
543,-122.28,37.78,50,1487,306.0,730,327,2.5139,219000,NEAR BAY,205467.06,139655.0,164611.39,178946.55,126636.41
12375,-116.38,33.74,7,17579,3479.0,3581,1820,4.084,194500,INLAND,274211.02,222130.03,148292.1,245191.75,204097.02
12268,-116.86,33.73,13,2604,443.0,978,417,2.933,170700,INLAND,107179.72,130211.0,131080.34,139500.0,137543.77
15865,-122.4,37.76,52,1185,246.0,480,253,4.4074,277300,NEAR BAY,286844.06,490777.9,374613.46,476439.84,436001.84
4929,-118.24,33.99,41,1425,372.0,1803,353,1.6731,88200,<1H OCEAN,123478.35,128699.0,132099.79,114761.98,102383.62
5819,-118.25,34.13,36,2946,1025.0,2542,912,2.2244,255900,<1H OCEAN,185730.51,236866.0,198016.9,219795.75,196116.06
6945,-118.09,33.99,35,2787,639.0,1923,614,3.5757,177900,<1H OCEAN,213631.3,228718.0,212657.21,217782.32,204123.69
10245,-117.86,33.9,25,3205,409.0,1291,408,7.2478,299200,<1H OCEAN,334568.55,353102.05,323791.24,312104.55,344003.94
10510,-117.69,33.54,20,1767,280.0,801,284,6.5394,272000,<1H OCEAN,312723.55,291623.05,308252.99,275110.53,307967.19
12721,-121.37,38.58,37,2839,390.0,1006,400,7.3343,280400,INLAND,295360.16,319291.01,351199.28,374753.85,319154.59
12161,-117.18,33.78,7,1697,424.0,808,354,1.3417,169300,INLAND,49781.09,112676.0,101782.48,85332.9,121674.25
8185,-118.1,33.79,35,2370,379.0,996,380,5.7368,287200,<1H OCEAN,305675.83,306541.01,310078.95,237522.89,304200.59
6857,-118.16,34.06,27,1675,274.0,785,275,5.828,301100,<1H OCEAN,291585.25,334846.07,309202.16,366783.25,292354.75
12360,-116.53,33.88,5,4423,763.0,1906,667,4.6855,125200,INLAND,151903.36,179090.0,157328.22,174972.86,159881.62
11352,-117.92,33.75,23,893,223.0,1149,216,2.6442,156300,<1H OCEAN,146282.86,172978.0,140552.56,191577.65,154496.97
3183,-119.77,36.3,24,2202,471.0,1052,439,2.1038,62000,INLAND,100725.98,78135.0,82574.65,59816.16,69174.71
12224,-116.95,33.68,11,1183,178.0,543,147,4.4792,173900,INLAND,154625.86,208757.0,151791.58,245191.75,193273.41
20158,-119.14,34.49,17,321,44.0,92,39,7.75,375000,<1H OCEAN,370320.62,379624.17,394246.56,439519.95,398295.53
14592,-117.17,32.82,21,2869,596.0,1471,577,3.0375,197600,NEAR OCEAN,197089.27,207357.0,192392.5,227805.56,172165.67
13023,-121.23,38.67,27,5266,971.0,2432,948,3.8954,133000,INLAND,158335.37,148192.0,155656.4,146201.42,150700.0
10314,-117.82,33.85,21,2603,404.0,1350,390,6.057,235900,<1H OCEAN,282510.37,287338.0,268850.81,285827.16,272195.53
7205,-118.19,34.02,34,1478,369.0,1735,348,1.8875,136700,<1H OCEAN,123909.94,146024.0,142585.71,137890.48,123993.52
532,-122.27,37.78,52,1408,280.0,718,265,2.6806,207900,NEAR BAY,208576.16,156243.0,171741.18,178946.55,131120.36
16776,-122.47,37.69,35,1720,421.0,1452,425,3.5909,256100,NEAR OCEAN,233771.88,298955.0,241449.96,340567.08,224002.45
11373,-117.97,33.68,23,1722,316.0,865,309,4.6452,273800,<1H OCEAN,247511.11,237977.0,231473.44,190356.46,263780.81
13167,-121.37,36.83,14,3658,612.0,1951,600,4.76,216000,INLAND,204573.59,234061.0,174789.06,146129.41,212282.86
2848,-118.96,35.4,27,2473,400.0,1271,427,3.5524,89100,INLAND,147530.87,84455.0,109421.77,88206.77,93934.88
19010,-122.0,38.35,34,1084,187.0,561,198,4.2115,118900,INLAND,188076.15,179217.0,150764.32,163773.72,154400.09
6186,-117.9,34.1,31,3007,653.0,1766,616,3.7083,166000,<1H OCEAN,212546.57,173357.0,212593.22,159772.0,195948.09
6775,-118.15,34.12,52,1518,344.0,725,296,3.4018,204500,<1H OCEAN,230753.1,214323.0,234020.62,216082.61,234410.22
163,-122.25,37.81,46,3232,835.0,1373,747,3.225,218800,NEAR BAY,261298.99,243715.01,240507.19,236768.99,245086.27
3936,-118.57,34.22,17,3262,753.0,1879,708,4.1359,255200,<1H OCEAN,236704.73,209372.0,243495.54,226591.39,194134.55
9231,-120.08,37.06,18,402,76.0,213,71,1.9063,95800,INLAND,61501.78,99607.0,92469.39,91033.33,104100.81
8061,-118.2,33.84,35,3405,779.0,1953,671,2.7813,159200,NEAR OCEAN,202446.69,176400.0,193628.72,191577.65,165447.69
19386,-120.85,37.77,37,1738,403.0,936,366,2.4717,77100,INLAND,117078.22,101645.0,101241.42,104911.48,106755.95
5583,-118.3,33.82,26,2080,560.0,2096,506,2.8106,184400,<1H OCEAN,167494.69,219378.0,183712.07,185364.1,226664.08
4252,-118.36,34.1,52,1096,247.0,423,230,3.0179,500001,<1H OCEAN,223502.02,383590.12,297692.41,377310.82,350890.0
12213,-117.18,33.51,13,270,42.0,120,42,6.993,500001,<1H OCEAN,308590.0,372183.17,324858.94,450940.4,346893.22
7269,-118.22,33.98,15,1011,274.0,899,219,2.7045,190600,<1H OCEAN,154287.52,122051.0,167675.4,137552.94,134296.56
4841,-118.29,34.03,38,1501,437.0,1777,441,2.0848,135200,<1H OCEAN,147852.38,199675.0,176151.56,187412.12,184184.73
19742,-122.72,40.17,16,396,78.0,188,72,1.3889,87500,INLAND,31026.6,67190.98,80317.32,75941.67,56196.12
333,-122.17,37.74,43,818,193.0,494,179,2.4776,101600,NEAR BAY,188060.11,128622.0,160239.52,101561.9,107485.03
13436,-117.44,34.09,24,3477,831.0,2541,753,2.3682,97400,INLAND,91752.37,108758.0,94269.41,110008.7,100188.96
19888,-119.16,36.28,18,2377,414.0,1359,424,4.4,79300,INLAND,151861.84,119713.0,117548.7,104696.36,92904.78
12152,-117.27,33.68,8,26322,4072.0,9360,3361,5.3238,228900,<1H OCEAN,288475.39,248956.0,256013.41,260198.65,254075.66
14867,-117.09,32.64,20,1999,651.0,1302,592,1.6321,57500,NEAR OCEAN,157918.12,109542.0,127390.52,114181.82,132574.95
2193,-119.99,36.8,45,1270,242.0,598,214,3.2813,105400,INLAND,152354.76,111881.0,120559.19,127012.72,110551.52
6162,-117.94,34.08,34,1970,476.0,1269,406,4.064,201200,<1H OCEAN,227338.78,167011.0,209388.55,159772.0,196478.55
10256,-117.87,33.88,28,2612,602.0,1682,563,3.6417,204300,<1H OCEAN,209091.2,183652.0,198136.46,190356.46,200394.06
16237,-121.29,37.98,49,2501,565.0,1171,550,2.5043,76700,INLAND,149617.88,97965.0,113737.63,104911.48,94374.74
4854,-118.31,34.03,34,2041,517.0,1479,495,2.1173,156600,<1H OCEAN,163038.75,201160.0,184306.64,187412.12,204428.08
8208,-118.17,33.79,32,2171,672.0,3002,648,2.375,139700,NEAR OCEAN,141874.64,152226.0,156755.4,168772.6,135598.8
14506,-117.22,32.87,5,3511,1008.0,1599,918,3.8542,176600,NEAR OCEAN,255843.96,232764.0,261357.17,236830.79,270483.5
1662,-121.93,37.93,16,2876,391.0,1089,377,6.299,286900,INLAND,258463.68,241060.0,249365.53,211700.0,264701.81
8670,-118.37,33.82,32,2815,607.0,1338,609,4.5687,381200,<1H OCEAN,279877.11,391906.12,336869.56,378980.96,369705.0
2297,-119.76,36.81,19,4643,1429.0,4638,1335,1.2716,69400,INLAND,34721.48,65695.0,91411.23,59816.16,63550.09
4166,-118.2,34.11,37,2040,611.0,1698,545,1.9355,166300,<1H OCEAN,155985.06,209394.0,161811.01,187412.12,161254.52
10815,-117.95,33.63,27,891,183.0,513,171,6.0,381500,<1H OCEAN,303602.24,296202.13,279344.25,258722.22,275817.0
9094,-118.29,34.65,18,6893,1372.0,2837,1221,3.3173,218400,INLAND,174326.23,136632.0,121848.16,158420.0,136927.77
2920,-119.02,35.37,44,2687,620.0,1521,549,1.7213,61600,INLAND,109658.46,57399.0,64134.68,59816.16,53417.0
20315,-119.16,34.12,17,224,70.0,147,71,3.6167,280000,NEAR OCEAN,224135.68,260043.03,308839.62,264280.0,293437.81
17480,-119.86,34.38,26,1626,375.0,1580,359,2.1471,187500,NEAR OCEAN,170338.82,191651.0,166434.01,187412.12,180262.92
13260,-117.67,34.1,28,1263,248.0,601,219,3.875,174000,INLAND,165045.5,168423.01,170941.42,158813.79,176631.98
7073,-118.02,33.95,35,2085,400.0,1112,391,3.4886,173900,<1H OCEAN,210419.75,185019.0,188933.62,190356.46,197781.66
19873,-119.3,36.34,45,3723,831.0,2256,770,1.8299,63100,INLAND,96101.0,58879.0,68993.27,59816.16,56504.34
1280,-121.8,38.01,46,2273,495.0,1088,447,2.2532,109400,INLAND,141302.07,100283.0,108049.29,104911.48,93210.35
12892,-121.33,38.66,15,4371,908.0,1842,818,2.7797,105500,INLAND,116442.03,131090.0,121524.92,122125.81,124564.34
1630,-122.17,37.88,32,3633,508.0,1393,506,7.6917,401800,NEAR BAY,376274.05,413707.11,383305.58,374753.85,394522.0
4944,-118.29,34.01,40,885,312.0,799,221,1.1667,143800,<1H OCEAN,129058.85,165443.0,178864.4,187412.12,126118.8
16570,-121.42,37.75,33,1999,368.0,1061,390,3.5242,121400,INLAND,163305.85,145534.0,110517.87,127012.72,135836.23
1428,-122.04,37.99,38,2675,541.0,1378,480,3.8897,139900,NEAR BAY,232355.53,144048.0,193287.3,167986.96,146198.09
6819,-118.09,34.09,40,855,208.0,745,222,3.0125,224000,<1H OCEAN,189455.44,192556.0,177764.13,179949.3,167726.12
261,-122.2,37.78,39,1752,399.0,1071,376,3.1167,121600,NEAR BAY,211072.45,186285.0,193213.6,208552.89,167624.78
11642,-118.06,33.83,17,1973,516.0,1112,501,3.8512,163800,<1H OCEAN,225153.59,211495.0,214946.12,190356.46,222898.83
4960,-118.3,34.0,52,1743,421.0,1206,384,1.6875,116000,<1H OCEAN,163268.2,137621.0,168559.0,114761.98,114950.9
19870,-119.36,36.33,11,3221,617.0,1351,565,2.9844,132000,INLAND,112856.63,93101.0,94970.31,82496.55,91610.04
10581,-117.82,33.72,24,3260,458.0,1383,442,6.5987,272800,<1H OCEAN,313576.79,284018.0,307011.66,275110.53,300090.62
6296,-117.91,34.02,17,5973,1384.0,4349,1229,3.2799,199300,<1H OCEAN,167483.37,192437.0,213453.35,190356.46,183464.44
3561,-118.57,34.25,20,4679,609.0,1945,609,8.7471,419900,<1H OCEAN,395121.67,460400.39,423872.7,439519.95,436708.59
18171,-122.01,37.36,16,1105,354.0,499,324,4.2061,253600,<1H OCEAN,255696.42,247359.0,277130.8,255593.96,256331.0
18257,-122.08,37.38,33,2771,659.0,1496,581,3.4042,353600,NEAR BAY,234663.48,257328.0,232246.47,208552.89,264905.22
1026,-120.59,38.45,13,2944,558.0,1091,466,3.0,119000,INLAND,94119.57,115108.0,125101.02,122125.81,123932.72
3921,-118.56,34.2,35,2273,,1431,403,4.0789,196700,<1H OCEAN,232669.97,206960.0,218885.73,208552.89,186832.5
159,-122.24,37.81,52,2093,550.0,918,483,2.7477,243800,NEAR BAY,232749.15,229238.0,215955.62,178946.55,223200.34
3229,-119.64,36.31,27,1513,314.0,1071,284,1.5909,50100,INLAND,61026.2,53242.0,50442.33,59816.16,56413.04
10717,-117.83,33.65,9,638,266.0,426,234,3.7875,187500,<1H OCEAN,207770.33,262996.09,226212.93,324009.18,254426.59
10434,-117.65,33.4,17,2737,654.0,910,492,3.5729,370800,NEAR OCEAN,230635.0,252190.03,259538.23,236830.79,279927.94
8311,-118.12,33.77,10,7264,1137.0,2528,1057,10.2233,500001,NEAR OCEAN,480517.54,475559.44,482098.15,492363.12,466046.44
12008,-117.55,33.93,25,5187,934.0,2725,860,4.1865,154300,INLAND,171529.94,159672.0,165350.48,155895.71,169840.84
1485,-122.01,37.95,8,3866,539.0,1555,513,6.0901,298200,NEAR BAY,276960.68,271725.0,257472.17,285827.16,250166.94
10111,-117.94,33.94,25,3250,546.0,1452,501,5.1084,303800,<1H OCEAN,261300.78,229691.0,253930.37,237522.89,270956.47
11570,-118.01,33.77,32,1771,296.0,995,272,5.8362,217500,<1H OCEAN,293884.23,309018.04,299082.91,296000.0,298667.16
19796,-123.18,40.58,18,1451,278.0,695,254,1.7262,73700,INLAND,51278.51,74751.0,41707.1,75941.67,71462.8
13539,-117.3,34.15,40,961,199.0,509,182,2.06,85500,INLAND,94598.87,80748.0,77341.35,85332.9,75576.17
9973,-122.4,38.53,24,1741,289.0,564,231,3.6118,248400,INLAND,165864.16,179205.0,149021.74,146201.42,217892.59
12701,-121.41,38.6,16,5407,1467.0,2523,1265,2.0471,104200,INLAND,131789.59,100058.0,106949.87,105746.91,108257.49
10019,-121.18,39.19,16,1528,351.0,729,319,2.4688,138800,INLAND,68515.82,120943.0,108229.64,122125.81,137230.67
5620,-118.25,33.78,32,296,139.0,511,133,1.4444,182100,NEAR OCEAN,135096.32,176950.0,151978.85,166488.04,140851.42
17431,-120.45,34.65,27,2215,578.0,1544,527,1.9257,135300,NEAR OCEAN,195645.57,138148.0,162008.77,187412.12,86953.79
8314,-118.32,33.35,27,1675,521.0,744,331,2.1579,450000,ISLAND,237652.85,267659.01,281545.58,166488.04,353867.94
9734,-121.64,36.82,18,1819,283.0,919,295,4.1696,222500,<1H OCEAN,235178.74,256169.07,235457.3,255593.96,237894.42
448,-122.28,37.87,46,3022,696.0,1293,675,2.543,220700,NEAR BAY,223319.47,154288.0,183893.02,116991.67,173764.98
12723,-121.38,38.59,38,1839,287.0,685,276,4.5313,189400,INLAND,186873.3,159649.0,174100.81,163773.72,164827.64
